Date,Open,High,Low,Close,Adj Close,Volume
2018-09-11,60.750000,62.099998,60.290001,61.970001,61.970001,1188100
2018-09-12,62.000000,62.939999,60.410000,61.740002,61.740002,933600
2018-09-13,62.480000,63.180000,60.130001,60.650002,60.650002,477400
2018-09-14,60.700001,61.580002,59.740002,60.549999,60.549999,768300
2018-09-17,60.310001,60.349998,56.660000,56.799999,56.799999,1310700
2018-09-18,57.590000,59.490002,57.070000,58.750000,58.750000,1108200
2018-09-19,58.750000,58.931999,56.119999,57.430000,57.430000,723000
2018-09-20,57.740002,58.520000,55.889999,58.209999,58.209999,862300
2018-09-21,58.900002,59.990002,58.520000,58.980000,58.980000,1071100
2018-09-24,58.980000,61.529999,57.820000,60.520000,60.520000,1008500
2018-09-25,60.720001,61.799999,60.119999,61.759998,61.759998,856500
2018-09-26,61.830002,62.700001,60.555000,60.650002,60.650002,1163100
2018-09-27,60.740002,61.250000,58.049999,59.310001,59.310001,720100
2018-09-28,59.110001,59.189999,56.299999,57.209999,57.209999,1265100
2018-10-01,57.209999,57.900002,56.230000,56.770000,56.770000,669000
2018-10-02,56.580002,56.580002,53.619999,54.939999,54.939999,990900
2018-10-03,55.119999,55.830002,54.509998,55.619999,55.619999,551600
2018-10-04,55.340000,55.580002,53.160000,55.000000,55.000000,1206000
2018-10-05,54.509998,55.580002,52.395000,53.400002,53.400002,2029400
2018-10-08,52.529999,53.610001,50.730000,52.080002,52.080002,1229200
2018-10-09,50.459999,52.849998,50.310001,51.860001,51.860001,816500
2018-10-10,52.000000,52.000000,48.709999,49.049999,49.049999,2959400
2018-10-11,48.240002,49.259998,45.209999,45.340000,45.340000,2254100
2018-10-12,48.330002,48.990002,46.009998,46.930000,46.930000,1124700
2018-10-15,46.599998,47.910000,44.840000,46.549999,46.549999,694400
2018-10-16,47.340000,50.270000,46.750000,50.220001,50.220001,945000
2018-10-17,50.709999,51.240002,49.270000,49.930000,49.930000,695000
2018-10-18,49.560001,50.000000,46.505001,47.349998,47.349998,594900
2018-10-19,47.799999,48.145000,43.060001,43.169998,43.169998,1347400
2018-10-22,43.639999,44.852001,42.410000,44.360001,44.360001,824200
2018-10-23,42.430000,45.049999,42.230000,44.790001,44.790001,964900
2018-10-24,44.910000,45.669998,42.750000,42.810001,42.810001,994100
2018-10-25,43.540001,47.000000,43.490002,46.509998,46.509998,1165200
2018-10-26,45.529999,46.560001,43.068001,44.880001,44.880001,1030500
2018-10-29,46.009998,46.527000,43.250000,44.230000,44.230000,836100
2018-10-30,44.099998,48.570000,43.689999,48.480000,48.480000,1427900
2018-10-31,50.070000,53.169998,49.259998,52.990002,52.990002,1700100
2018-11-01,53.020000,54.549999,51.250000,54.310001,54.310001,1238800
2018-11-02,54.490002,55.740002,51.950001,52.610001,52.610001,1053700
2018-11-05,52.650002,53.189999,50.549999,52.970001,52.970001,943100
2018-11-06,53.590000,54.389999,51.709999,53.160000,53.160000,890400
2018-11-07,54.500000,59.240002,54.340000,58.639999,58.639999,2221800
2018-11-08,67.199997,67.400002,56.855000,58.290001,58.290001,2844900
2018-11-09,57.950001,59.919998,56.500000,57.880001,57.880001,936500
2018-11-12,56.900002,57.000000,52.750000,55.590000,55.590000,1167200
2018-11-13,55.720001,56.688000,53.230000,56.070000,56.070000,816800
2018-11-14,57.250000,58.770000,56.070000,57.759998,57.759998,998300
2018-11-15,57.590000,60.750000,57.529999,60.610001,60.610001,1041200
2018-11-16,59.619999,61.799999,59.040001,60.340000,60.340000,768500
2018-11-19,59.709999,60.369999,52.380001,52.430000,52.430000,1234700
2018-11-20,50.000000,51.880001,47.070000,50.689999,50.689999,1804400
2018-11-21,51.919998,53.360001,50.540001,52.410000,52.410000,683000
2018-11-23,51.439999,54.439999,51.439999,53.849998,53.849998,198100
2018-11-26,54.880001,57.270000,53.349998,56.500000,56.500000,687800
2018-11-27,56.000000,57.395000,54.009998,54.200001,54.200001,1160100
2018-11-28,55.279999,56.810001,53.439999,56.650002,56.650002,1034300
2018-11-29,56.250000,59.520000,56.250000,58.360001,58.360001,629400
2018-11-30,58.160000,60.330002,58.099998,60.180000,60.180000,828900
2018-12-03,62.540001,63.330002,59.410000,61.000000,61.000000,959800
2018-12-04,60.349998,61.730000,57.860001,58.570000,58.570000,1059200
2018-12-06,56.279999,60.830002,55.000000,59.849998,59.849998,1311600
2018-12-07,61.849998,62.810001,57.830002,59.389999,59.389999,1212900
2018-12-10,58.990002,62.639999,58.639999,61.419998,61.419998,1023900
2018-12-11,62.790001,63.700001,60.730000,61.590000,61.590000,841400
